biomass,biomass_author,biomass_year,biomass_journal,biomass_doi,biomass_database,biomass_mosaic,biomass_notes,height,height_author,height_year,height_journal,height_doi,height_database,height_mosaic,height_notes,growthdet,growthdet_author,growthdet_year,growthdet_journal,growthdet_doi,growthdet_database,growthdet_mosaic,growthdet_notes,regen,regen_author,regen_year,regen_journal,regen_doi,regen_database,regen_mosaic,regen_notes,dimorph,dimorph_author,dimorph_year,dimorph_journal,dimorph_doi,dimorph_database,dimorph_mosaic,dimorph_notes,matsyst,matsyst_author,matsyst_year,matsyst_journal,matsyst_doi,matsyst_database,matsyst_mosaic,matsyst_notes,hermaph,hermaph_author,hermaph_year,hermaph_journal,hermaph_doi,hermaph_database,hermaph_mosaic,hermaph_notes,seqherm,seqherm_author,seqherm_year,seqherm_journal,seqherm_doi,seqherm_database,seqherm_mosaic,seqherm_notes,dispcap,dispcap_author,dispcap_year,dispcap_journal,dispcap_doi,dispcap_database,dispcap_mosaic,dispcap_notes,disptype,disptype_author,disptype_year,disptype_journal,disptype_doi,disptype_database,disptype_mosaic,disptype_notes,checkModeDisp,modedisp_author,modedisp_year,modedisp_journal,modedispe_doi,modedisp_database,modedisp_mosaic,modedisp_notes,dispclass,dispclass_author,dispclass_year,dispclass_journal,dispclass_doi,dispclass_database,dispclass_mosaic,dispclass_notes,volancy,volancy_author,volancy_year,volancy_journal,volancy_doi,volancy_database,volancy_mosaic,volancy_notes,aquadep,aquadep_author,aquadep_year,aquadep_journal,aquadep_doi,aquadep_database,aquadep_mosaic,aquadep_notes,specieslist
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Armeria merinoi
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,"Sauquet, H., et al.",2017,Nat Commun,10.1038/ncomms16047,Sauquet et al. 2016,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Cain, M. L. & Damman, H.",1997,Journal of Ecology,doi.org/10.2307/2960609,NDY,NDY,,Passive,"Cain, M. L. & Damman, H.",1997,Journal of Ecology,doi.org/10.2307/2960609,NDY,NDY,,Zoochory,"Cain, M. L. & Damman, H.",1997,Journal of Ecology,doi.org/10.2307/2960609,NDY,NDY,,Seed,"Cain, M. L. & Damman, H.",1997,Journal of Ecology,doi.org/10.2307/2960609,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Damman, H.; & Cain, M.L.",2002,Journal of Ecology,10.1046/j.1365-2745.1998.00242.x,NDY,NDY,,Asarum canadense
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Alexander, et al.",2009,Journal of Ecology,10.1111/j.1365-2745.2008.01468.x,NDY,NDY,,Asclepias meadii
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Dudgeon, S. et al.",2001,Functional Ecology,https://www.jstor.org/stable/826685,NDY,NDY,,Passive,"Dudgeon, S. et al.",2001,Functional Ecology,https://www.jstor.org/stable/826685,NDY,NDY,,Water currents,"Dudgeon, S. et al.",2001,Functional Ecology,https://www.jstor.org/stable/826685,NDY,NDY,,Zygote,"Dudgeon, S. et al.",2001,Functional Ecology,https://www.jstor.org/stable/826685,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Marine,"Aberg, P.",1992,Ecology,10.2307/1940692,NDY,NDY,,Ascophyllum nodosum
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Zotz, G.; & Schmidt, G.",2006,Biological Conservation,10.1016/j.biocon.2005.07.022,NDY,NDY,,Aspasia principissa
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Lovis, J. D",1968,Nature,doi.org/10.1038/2171163b0,NDY,NDY,,Passive,"Lovis, J. D",1968,Nature,doi.org/10.1038/2171163b0,NDY,NDY,,Anemochory,"Lovis, J. D",1968,Nature,doi.org/10.1038/2171163b0,NDY,NDY,,Spore,"Lovis, J. D",1968,Nature,doi.org/10.1038/2171163b0,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Tájek, P.; Bucharová, A.; & Münzbergová, Z.",2011,Acta Oecologica,10.1016/j.actao.2011.06.009,NDY,NDY,,Asplenium adulterinum
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Tájek, P., Bucharová, A. & Münzbergová, Z.",2011,Acta Oecologica,doi.org/10.1016/j.actao.2011.06.009,NDY,NDY,,Passive,"Tájek, P., Bucharová, A. & Münzbergová, Z.",2011,Acta Oecologica,doi.org/10.1016/j.actao.2011.06.009,NDY,NDY,,Anemochory,"Tájek, P., Bucharová, A. & Münzbergová, Z.",2011,Acta Oecologica,doi.org/10.1016/j.actao.2011.06.009,NDY,NDY,,Spore,"Tájek, P., Bucharová, A. & Münzbergová, Z.",2011,Acta Oecologica,doi.org/10.1016/j.actao.2011.06.009,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Tájek, P.; Bucharová, A.; & Münzbergová, Z.",2011,Acta Oecologica,10.1016/j.actao.2011.06.009,NDY,NDY,,Asplenium cuneifolium
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Wang, S. et al.",2018,Chinese Journal of Plant Ecology,doi.org/10.17521/cjpe.2017.0118,NDY,NDY,,Passive,"Wang, S. et al.",2018,Chinese Journal of Plant Ecology,doi.org/10.17521/cjpe.2017.0118,NDY,NDY,,Zoochory,"Wang, S. et al.",2018,Chinese Journal of Plant Ecology,doi.org/10.17521/cjpe.2017.0118,NDY,NDY,,Seed,"Wang, S. et al.",2018,Chinese Journal of Plant Ecology,doi.org/10.17521/cjpe.2017.0118,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Astragalus alopecurus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Martin, E. F.",2010,PhD thesis,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rj430743x,NDY,NDY,,Passive,"Martin, E. F.",2010,PhD thesis,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rj430743x,NDY,NDY,,Autochory,"Martin, E. F.",2010,PhD thesis,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rj430743x,NDY,NDY,,Seed,"Martin, E. F.",2010,PhD thesis,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rj430743x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Martin, E.F.; & Meinke, R.J.",2012,Population Ecology,10.1007/s10144-012-0318-5,NDY,NDY,,Astragalus peckii
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Tenhumberg, B. et al.",2018,Ecology,10.1002/ecy.2163,NDY,NDY,,Astragalus scaphoides
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Melendo, M.",2003,Flora,doi.org/10.1078/0367-2530-00099,NDY,NDY,,Passive,"Melendo, M.",2003,Flora,doi.org/10.1078/0367-2530-00099,NDY,NDY,,Autochory,"Melendo, M.",2003,Flora,doi.org/10.1078/0367-2530-00099,NDY,NDY,,Seed,"Melendo, M.",2003,Flora,doi.org/10.1078/0367-2530-00099,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Astragalus tremolsianus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Monoecious,"Pinero, D., Martinez-Ramos, M., & Sarukhan, J.",1984,J. Ecol.,10.2307/2259545,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Eguiarte, L. E. et al.",1993,Evolution,doi.org/10.1111/j.1558-5646.1993.tb01200.x,NDY,NDY,,Passive,"Eguiarte, L. E. et al.",1993,Evolution,doi.org/10.1111/j.1558-5646.1993.tb01200.x,NDY,NDY,,Autochory and Zoochory,"Eguiarte, L. E. et al.",1993,Evolution,doi.org/10.1111/j.1558-5646.1993.tb01200.x,NDY,NDY,,Seed,"Eguiarte, L. E. et al.",1993,Evolution,doi.org/10.1111/j.1558-5646.1993.tb01200.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Pinero, D.; Martinez-Ramoz, M.; & Sarukhan, J.",1984,Journal of Ecology,10.2307/2259545,NDY,NDY,,Astrocaryum mexicanum
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dioecious,The Tree of Sex Consortium,2014,Sci Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Cázares-Martínez, J., Montaña, C. & Franco, M.",2010,Oecologia,doi.org/10.1007/s00442-010-1696-z,NDY,NDY,,Passive,"Cázares-Martínez, J., Montaña, C. & Franco, M.",2010,Oecologia,doi.org/10.1007/s00442-010-1696-z,NDY,NDY,,Autochory,"Cázares-Martínez, J., Montaña, C. & Franco, M.",2010,Oecologia,doi.org/10.1007/s00442-010-1696-z,NDY,NDY,,Seed,"Cázares-Martínez, J., Montaña, C. & Franco, M.",2010,Oecologia,doi.org/10.1007/s00442-010-1696-z,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Verhulst, J. et al.",2008,Oecologia,10.1007/s00442-008-0980-7,NDY,NDY,,Atriplex acanthocarpa
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,1.5,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dioecious,The Tree of Sex Consortium,2014,Sci Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Freeman, D. C. et al.",1993,Oecologia,https://www.jstor.org/stable/4220296,NDY,NDY,,Passive,"Freeman, D. C. et al.",1993,Oecologia,https://www.jstor.org/stable/4220296,NDY,NDY,,Autochory,"Freeman, D. C. et al.",1993,Oecologia,https://www.jstor.org/stable/4220296,NDY,NDY,,Seed,"Freeman, D. C. et al.",1993,Oecologia,https://www.jstor.org/stable/4220296,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Verhulst, J. et al.",2008,Oecologia,10.1007/s00442-008-0980-7,NDY,NDY,,Atriplex canescens
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"McWilliams, J.",2002,"Fire Effects Information System, [Online]",https://www.fs.fed.us/database/feis/plants/forb/balsag/all.html,FEIS,NDY,,Passive,"McWilliams, J.",2002,"Fire Effects Information System, [Online]",https://www.fs.fed.us/database/feis/plants/forb/balsag/all.html,FEIS,NDY,,Anemochory and Zoochory,"McWilliams, J.",2002,"Fire Effects Information System, [Online]",https://www.fs.fed.us/database/feis/plants/forb/balsag/all.html,FEIS,NDY,,Seed,"McWilliams, J.",2002,"Fire Effects Information System, [Online]",https://www.fs.fed.us/database/feis/plants/forb/balsag/all.html,FEIS,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Monothony, A.S. et al.",2020,In Vitro Cellular & Developmental Biology - Plant,10.1007/s11627-019-10052-0,NDY,NDY,,Balsamorhiza sagittata
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,NDY,NDY,NDY,NDY,BIEN,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Honig, M. A., Cowling, R. M. & Richardson, D. M.",1992,Australian Journal of Ecology,doi.org/10.1111/j.1442-9993.1992.tb00812.x,NDY,NDY,,Passive,"Honig, M. A., Cowling, R. M. & Richardson, D. M.",1992,Australian Journal of Ecology,doi.org/10.1111/j.1442-9993.1992.tb00812.x,NDY,NDY,,Anemochory,"Honig, M. A., Cowling, R. M. & Richardson, D. M.",1992,Australian Journal of Ecology,doi.org/10.1111/j.1442-9993.1992.tb00812.x,NDY,NDY,,Seed,"Honig, M. A., Cowling, R. M. & Richardson, D. M.",1992,Australian Journal of Ecology,doi.org/10.1111/j.1442-9993.1992.tb00812.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Geerts, S. et al.",2013,Austral Ecology,10.1111/aec.12035,NDY,NDY,,Banksia ericifolia
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,"Zappi, D.",2009,OTHER,NDY,Neotropical Lecythidaceae,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Wadt, L. H. et al.",2018,Forest Ecology and Management,doi.org/10.1016/j.foreco.2018.02.014,NDY,NDY,,Passive,"Wadt, L. H. et al.",2018,Forest Ecology and Management,doi.org/10.1016/j.foreco.2018.02.014,NDY,NDY,,Autochory and Zoochory,"Wadt, L. H. et al.",2018,Forest Ecology and Management,doi.org/10.1016/j.foreco.2018.02.014,NDY,NDY,,Seed,"Wadt, L. H. et al.",2018,Forest Ecology and Management,doi.org/10.1016/j.foreco.2018.02.014,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Peres, C.A.; & Baider, C.",2009,Journal of Tropical Ecology,10.1017/S0266467400010749,NDY,NDY,,Bertholletia excelsa
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,NDY,NDY,NDY,NDY,Flora of North America,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Leamy, L.J. et al.",2014,Ecology and Conservation,10.1002/ece3.1148,NDY,NDY,,Boechera fecunda
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Vale, A. et al.",2013,Botanical Journal of the Linnean Society,10.1111/boj.12042,NDY,NDY,,Broughtonia cubensis
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,"Le Corff, J., Ågren, J., & Schemske, D. W.",1998,Ecology,10.1890/0012-9658(1998)079[1610:FDPDAF]2.0.CO,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Ehrlén, J. & Lehtilä, K.",2002,Oikos,doi.org/10.1034/j.1600-0706.2002.980212.x,NDY,NDY,,Passive,"Ehrlén, J. & Lehtilä, K.",2002,Oikos,doi.org/10.1034/j.1600-0706.2002.980212.x,NDY,NDY,,Zoochory,"Ehrlén, J. & Lehtilä, K.",2002,Oikos,doi.org/10.1034/j.1600-0706.2002.980212.x,NDY,NDY,,Seed,"Ehrlén, J. & Lehtilä, K.",2002,Oikos,doi.org/10.1034/j.1600-0706.2002.980212.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Horvitz, C.C.; & Schemske, D.W.",1984,Ecology,10.2307/1939117,NDY,NDY,,Calathea ovandensis
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Passive,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Autochory,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Seed,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Miller, M.T.; Antos, J.A.; & Allen, G.A.",2007,Plant Ecology,10.1007/s11258-006-9241-1,NDY,NDY,,Calochortus lyallii
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Passive,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Autochory,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,Seed,"Miller, M. T., Allen, G. A. & Antos, J. A.",2004,Canadian Journal of Botany,doi.org/10.1139/b04-144,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Miller, M.T.; Antos, J.A.; & Allen, G.A.",2007,Plant Ecology,10.1007/s11258-006-9241-1,NDY,NDY,,Calochortus macrocarpus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,TRY record exists,NDY,NDY,NDY,NDY,TRY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dispersing,"Jongejans, E. et al.",2008,Journal of Ecology,doi.org/10.1111/j.1365-2745.2008.01367.x,NDY,NDY,,Passive,"Jongejans, E. et al.",2008,Journal of Ecology,doi.org/10.1111/j.1365-2745.2008.01367.x,NDY,NDY,,Anemochory and Anthropochory,"Jongejans, E. et al.",2008,Journal of Ecology,doi.org/10.1111/j.1365-2745.2008.01367.x,NDY,NDY,,Seed,"Jongejans, E. et al.",2008,Journal of Ecology,doi.org/10.1111/j.1365-2745.2008.01367.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Jongejans, E.; Sheppard, A.W.; & Shea, K.",2006,Journal of Applied Ecology,10.1111/j.1365-2664.2006.01228.x,NDY,NDY,,Carduus nutans
